"movie_id","genre"
"santo-and-blue-demon-against-the-monsters","Science Fiction"
"santo-and-blue-demon-against-the-monsters","Horror"
"auld-lang-syne","Thriller"
"auld-lang-syne","Science Fiction"
"romantic-blue","Drama"
"beyonds-diary","Comedy"
"beyonds-diary","Drama"
"tricked-2012","Drama"
"the-sirens","Fantasy"
"ashes-and-snow","Documentary"
"ashes-and-snow","Drama"
"salut-et-fraternite-les-images-selon-rene-vautier","Documentary"
"emmene-moi","null"
"shanghai-grand","Action"
"shanghai-grand","Thriller"
"shanghai-grand","Crime"
"shanghai-grand","Romance"
"preparation-of-the-cork-exhibition-grounds-and-erection-of-buildings","null"
"the-bankrupt","null"
